admin1,pass1,555-010-0001,1001 University Ave Riverside CA,Admin,
admin2,pass2,555-010-0002,1002 University Ave Riverside CA,Admin,
admin3,pass3,555-010-0003,1003 University Ave Riverside CA,Admin,
admin4,pass4,555-010-0004,1004 University Ave Riverside CA,Admin,
admin5,pass5,555-010-0005,1005 University Ave Riverside CA,Admin,
seller1,pass6,555-010-0006,1006 University Ave Riverside CA,Seller,Electronics
seller2,pass7,555-010-0007,1007 University Ave Riverside CA,Seller,Books
seller3,pass8,555-010-0008,1008 University Ave Riverside CA,Seller,Clothing
seller4,pass9,555-010-0009,1009 University Ave Riverside CA,Seller,Home
seller5,pass10,555-010-0010,1010 University Ave Riverside CA,Seller,Toys
seller6,pass11,555-010-0011,1011 University Ave Riverside CA,Seller,Sports
seller7,pass12,555-010-0012,1012 University Ave Riverside CA,Seller,Electronics
seller8,pass13,555-010-0013,1013 University Ave Riverside CA,Seller,Books
seller9,pass14,555-010-0014,1014 University Ave Riverside CA,Seller,Clothing
seller10,pass15,555-010-0015,1015 University Ave Riverside CA,Seller,Home
seller11,pass16,555-010-0016,1016 University Ave Riverside CA,Seller,Toys
seller12,pass17,555-010-0017,1017 University Ave Riverside CA,Seller,Sports
seller13,pass18,555-010-0018,1018 University Ave Riverside CA,Seller,Electronics
seller14,pass19,555-010-0019,1019 University Ave Riverside CA,Seller,Books
seller15,pass20,555-010-0020,1020 University Ave Riverside CA,Seller,Clothing
seller16,pass21,555-010-0021,1021 University Ave Riverside CA,Seller,Home
seller17,pass22,555-010-0022,1022 University Ave Riverside CA,Seller,Toys
seller18,pass23,555-010-0023,1023 University Ave Riverside CA,Seller,Sports
seller19,pass24,555-010-0024,1024 University Ave Riverside CA,Seller,Electronics
seller20,pass25,555-010-0025,1025 University Ave Riverside CA,Seller,Books
seller21,pass26,555-010-0026,1026 University Ave Riverside CA,Seller,Clothing
seller22,pass27,555-010-0027,1027 University Ave Riverside CA,Seller,Home
seller23,pass28,555-010-0028,1028 University Ave Riverside CA,Seller,Toys
seller24,pass29,555-010-0029,1029 University Ave Riverside CA,Seller,Sports
seller25,pass30,555-010-0030,1030 University Ave Riverside CA,Seller,Electronics
buyer1,pass31,555-010-0031,1031 University Ave Riverside CA,Buyer,Books
buyer2,pass32,555-010-0032,1032 University Ave Riverside CA,Buyer,Clothing
buyer3,pass33,555-010-0033,1033 University Ave Riverside CA,Buyer,Home
buyer4,pass34,555-010-0034,1034 University Ave Riverside CA,Buyer,Toys
buyer5,pass35,555-010-0035,1035 University Ave Riverside CA,Buyer,Sports
buyer6,pass36,555-010-0036,1036 University Ave Riverside CA,Buyer,Electronics
buyer7,pass37,555-010-0037,1037 University Ave Riverside CA,Buyer,Books
buyer8,pass38,555-010-0038,1038 University Ave Riverside CA,Buyer,Clothing
buyer9,pass39,555-010-0039,1039 University Ave Riverside CA,Buyer,Home
buyer10,pass40,555-010-0040,1040 University Ave Riverside CA,Buyer,Toys
buyer11,pass41,555-010-0041,1041 University Ave Riverside CA,Buyer,Sports
buyer12,pass42,555-010-0042,1042 University Ave Riverside CA,Buyer,Electronics
buyer13,pass43,555-010-0043,1043 University Ave Riverside CA,Buyer,Books
buyer14,pass44,555-010-0044,1044 University Ave Riverside CA,Buyer,Clothing
buyer15,pass45,555-010-0045,1045 University Ave Riverside CA,Buyer,Home
buyer16,pass46,555-010-0046,1046 University Ave Riverside CA,Buyer,Toys
buyer17,pass47,555-010-0047,1047 University Ave Riverside CA,Buyer,Sports
buyer18,pass48,555-010-0048,1048 University Ave Riverside CA,Buyer,Electronics
buyer19,pass49,555-010-0049,1049 University Ave Riverside CA,Buyer,Books
buyer20,pass50,555-010-0050,1050 University Ave Riverside CA,Buyer,Clothing
buyer21,pass51,555-010-0051,1051 University Ave Riverside CA,Buyer,Home
buyer22,pass52,555-010-0052,1052 University Ave Riverside CA,Buyer,Toys
buyer23,pass53,555-010-0053,1053 University Ave Riverside CA,Buyer,Sports
buyer24,pass54,555-010-0054,1054 University Ave Riverside CA,Buyer,Electronics
